Date : 2026-04-27 20:45:24
Directory : /home/developer/projects/oral-health-policy-pulse
Total : 74 files,  12560 codes, 2267 comments, 3207 blanks, all 18034 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Markdown       |         23 |      5,142 |          0 |      1,614 |      6,756 |
| Python         |         27 |      5,002 |      2,026 |      1,399 |      8,427 |
| TypeScript JSX |         12 |      2,022 |        112 |        123 |      2,257 |
| TypeScript     |          2 |        190 |        110 |         36 |        336 |
| Shell Script   |          4 |         98 |         18 |         24 |        140 |
| MS SQL         |          1 |         88 |          1 |          9 |         98 |
| JavaScript     |          2 |         15 |          0 |          1 |         16 |
| PostCSS        |          3 |          3 |          0 |          1 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         74 |     12,560 |      2,267 |      3,207 |     18,034 |
| . (Files)                                                                                        |          6 |        298 |         18 |         63 |        379 |
| .huggingface                                                                                     |          1 |          1 |          0 |          0 |          1 |
| api                                                                                              |          4 |         15 |          0 |          1 |         16 |
| api/static                                                                                       |          4 |         15 |          0 |          1 |         16 |
| api/static/assets                                                                                |          4 |         15 |          0 |          1 |         16 |
| discovery                                                                                        |          3 |        260 |        129 |         89 |        478 |
| docs                                                                                             |          5 |      1,113 |          0 |        376 |      1,489 |
| frontend                                                                                         |         14 |      2,186 |        219 |        159 |      2,564 |
| frontend/src                                                                                     |         14 |      2,186 |        219 |        159 |      2,564 |
| frontend/src (Files)                                                                             |          2 |         19 |          0 |          1 |         20 |
| frontend/src/components                                                                          |          1 |         32 |          0 |          3 |         35 |
| frontend/src/pages                                                                               |         10 |      1,974 |        112 |        120 |      2,206 |
| frontend/src/utils                                                                               |          1 |        161 |        107 |         35 |        303 |
| pipeline                                                                                         |          3 |        723 |        252 |        225 |      1,200 |
| scripts                                                                                          |         23 |      4,169 |      1,646 |      1,116 |      6,931 |
| website                                                                                          |         15 |      3,795 |          3 |      1,178 |      4,976 |
| website (Files)                                                                                  |          1 |         29 |          3 |          1 |         33 |
| website/docs                                                                                     |         14 |      3,766 |          0 |      1,177 |      4,943 |
| website/docs/data-sources                                                                        |          5 |      1,542 |          0 |        443 |      1,985 |
| website/docs/families                                                                            |          2 |        500 |          0 |        122 |        622 |
| website/docs/guides                                                                              |          7 |      1,724 |          0 |        612 |      2,336 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                         | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/developer/projects/oral-health-policy-pulse/.huggingface/README.md                         | Markdown       |          1 |          0 |          0 |          1 |
| /home/developer/projects/oral-health-policy-pulse/CITATIONS.md                                   | Markdown       |        197 |          0 |         39 |        236 |
| /home/developer/projects/oral-health-policy-pulse/README.md                                      | Markdown       |          3 |          0 |          0 |          3 |
| /home/developer/projects/oral-health-policy-pulse/api/static/assets/index-8H-PWUk9.js            | JavaScript     |        187 |          0 |          2 |        189 |
| /home/developer/projects/oral-health-policy-pulse/api/static/assets/index-BapuPuQU.js            | JavaScript     |       -172 |          0 |         -1 |       -173 |
| /home/developer/projects/oral-health-policy-pulse/api/static/assets/index-CpjJ73BY.css           | PostCSS        |          1 |          0 |          1 |          2 |
| /home/developer/projects/oral-health-policy-pulse/api/static/assets/index-TOmu9Lxc.css           | PostCSS        |         -1 |          0 |         -1 |         -2 |
| /home/developer/projects/oral-health-policy-pulse/deploy-huggingface.sh                          | Shell Script   |          5 |          1 |          1 |          7 |
| /home/developer/projects/oral-health-policy-pulse/discovery/README_IRS_BMF.md                    | Markdown       |         62 |          0 |         22 |         84 |
| /home/developer/projects/oral-health-policy-pulse/discovery/irs_bmf_ingestion.py                 | Python         |        163 |        119 |         60 |        342 |
