Date : 2026-05-05 10:06:22
Directory : /home/developer/projects/open-navigator
Total : 90 files,  5647 codes, 911 comments, 1404 blanks, all 7962 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |         13 |      2,499 |          0 |        728 |      3,227 |
| Python   |         59 |      2,466 |        719 |        513 |      3,698 |
| MS SQL   |         14 |        467 |        174 |        127 |        768 |
| YAML     |          4 |        215 |         18 |         36 |        269 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         90 |      5,647 |        911 |      1,404 |      7,962 |
| .github                                                                                                           |          1 |         33 |          0 |          7 |         40 |
| dbt_project                                                                                                       |         12 |        469 |        123 |         98 |        690 |
| dbt_project (Files)                                                                                               |          1 |         45 |         18 |         14 |         77 |
| dbt_project/macros                                                                                                |          3 |         36 |         30 |          3 |         69 |
| dbt_project/models                                                                                                |          8 |        388 |         75 |         81 |        544 |
| dbt_project/models/intermediate                                                                                   |          2 |         56 |         10 |          6 |         72 |
| dbt_project/models/marts                                                                                          |          2 |        119 |         23 |         25 |        167 |
| dbt_project/models/staging                                                                                        |          4 |        213 |         42 |         50 |        305 |
| neon                                                                                                              |          8 |     -1,894 |       -309 |       -473 |     -2,676 |
| prompts                                                                                                           |          1 |         37 |          0 |          2 |         39 |
| scripts                                                                                                           |         63 |      5,182 |      1,097 |      1,249 |      7,528 |
| scripts/datasources                                                                                               |         53 |      3,000 |        708 |        699 |      4,407 |
| scripts/datasources/census                                                                                        |         10 |          0 |          0 |          0 |          0 |
| scripts/datasources/fec                                                                                           |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/gemini                                                                                        |         20 |      2,654 |        649 |        592 |      3,895 |
| scripts/datasources/gemini (Files)                                                                                |         11 |      1,452 |        359 |        330 |      2,141 |
| scripts/datasources/gemini/migrations                                                                             |          9 |      1,202 |        290 |        262 |      1,754 |
| scripts/datasources/hifld                                                                                         |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/irs                                                                                           |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/localview                                                                                     |          4 |          0 |          0 |          0 |          0 |
| scripts/datasources/meetingbank                                                                                   |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/nccs                                                                                          |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/nces                                                                                          |          2 |          0 |          0 |          0 |          0 |
| scripts/datasources/ntee                                                                                          |          3 |        346 |         59 |        107 |        512 |
| scripts/datasources/openstates                                                                                    |          4 |          0 |          0 |          0 |          0 |
| scripts/deployment                                                                                                |         10 |      2,182 |        389 |        550 |      3,121 |
| scripts/deployment/neon                                                                                           |         10 |      2,182 |        389 |        550 |      3,121 |
| scripts/deployment/neon (Files)                                                                                   |          8 |      1,966 |        324 |        482 |      2,772 |
| scripts/deployment/neon/migrations                                                                                |          2 |        216 |         65 |         68 |        349 |
| website                                                                                                           |          5 |      1,820 |          0 |        521 |      2,341 |
| website/docs                                                                                                      |          5 |      1,820 |          0 |        521 |      2,341 |
| website/docs/development                                                                                          |          5 |      1,820 |          0 |        521 |      2,341 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                          | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/developer/projects/open-navigator/.github/copilot-instructions.md                                           | Markdown |         33 |          0 |          7 |         40 |
| /home/developer/projects/open-navigator/dbt_project/dbt_project.yml                                               | YAML     |         45 |         18 |         14 |         77 |
| /home/developer/projects/open-navigator/dbt_project/macros/calculate_confidence.sql                               | MS SQL   |         11 |          8 |          1 |         20 |
| /home/developer/projects/open-navigator/dbt_project/macros/normalize_bill_number.sql                              | MS SQL   |         14 |         11 |          1 |         26 |
| /home/developer/projects/open-navigator/dbt_project/macros/normalize_name.sql                                     | MS SQL   |         11 |         11 |          1 |         23 |
| /home/developer/projects/open-navigator/dbt_project/models/intermediate/_intermediate.yml                         | YAML     |         19 |          0 |          2 |         21 |
| /home/developer/projects/open-navigator/dbt_project/models/intermediate/int_contacts_deduped.sql                  | MS SQL   |         37 |         10 |          4 |         51 |
