Date : 2026-05-11 05:58:59
Directory : /home/developer/projects/open-navigator
Total : 291 files,  64096 codes, 26591 comments, 13373 blanks, all 104060 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        291 |     64,096 |     26,591 |     13,373 |    104,060 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        291 |     64,096 |     26,591 |     13,373 |    104,060 |
| . (Files)                                                                                                                |          3 |        415 |         45 |         99 |        559 |
| agents                                                                                                                   |         14 |      3,853 |      1,130 |        797 |      5,780 |
| alerts                                                                                                                   |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                                      |         22 |      5,284 |      4,122 |      1,004 |     10,410 |
| api (Files)                                                                                                              |          7 |      1,712 |        751 |        303 |      2,766 |
| api/routes                                                                                                               |         13 |      3,547 |      3,333 |        681 |      7,561 |
| api/utils                                                                                                                |          2 |         25 |         38 |         20 |         83 |
| config                                                                                                                   |          2 |         79 |         23 |         24 |        126 |
| databricks                                                                                                               |          3 |        407 |        516 |         96 |      1,019 |
| databricks (Files)                                                                                                       |          2 |        355 |        254 |         80 |        689 |
| databricks/notebooks                                                                                                     |          1 |         52 |        262 |         16 |        330 |
| extraction                                                                                                               |          6 |      1,615 |        795 |        330 |      2,740 |
| models                                                                                                                   |          1 |        220 |         71 |         51 |        342 |
| notebooks                                                                                                                |          2 |        177 |        227 |        116 |        520 |
| pipeline                                                                                                                 |         10 |      2,221 |        954 |        563 |      3,738 |
| scripts                                                                                                                  |        223 |     49,074 |     18,370 |     10,118 |     77,562 |
| scripts (Files)                                                                                                          |          5 |      1,011 |        222 |        193 |      1,426 |
| scripts/database                                                                                                         |          1 |         18 |          9 |          6 |         33 |
| scripts/datasources                                                                                                      |        132 |     31,550 |     11,544 |      6,294 |     49,388 |
| scripts/datasources (Files)                                                                                              |          1 |          0 |          0 |          1 |          1 |
| scripts/datasources/ballotpedia                                                                                          |          1 |        361 |        215 |        104 |        680 |
| scripts/datasources/cdp                                                                                                  |          3 |        461 |        136 |        110 |        707 |
| scripts/datasources/census                                                                                               |         22 |      3,860 |      1,719 |        839 |      6,418 |
| scripts/datasources/cityscrapers                                                                                         |          1 |        170 |         85 |         59 |        314 |
| scripts/datasources/dbpedia                                                                                              |          1 |        226 |        167 |         24 |        417 |
| scripts/datasources/fec                                                                                                  |          5 |      1,445 |        563 |        359 |      2,367 |
| scripts/datasources/gemini                                                                                               |         17 |      3,412 |        970 |        690 |      5,072 |
| scripts/datasources/gemini (Files)                                                                                       |          9 |      2,275 |        680 |        456 |      3,411 |
| scripts/datasources/gemini/migrations                                                                                    |          8 |      1,137 |        290 |        234 |      1,661 |
| scripts/datasources/google_civic                                                                                         |          1 |        225 |        100 |         64 |        389 |
| scripts/datasources/google_data_commons                                                                                  |          1 |        162 |        119 |         40 |        321 |
| scripts/datasources/govwebsites                                                                                          |          1 |        142 |        108 |         38 |        288 |
| scripts/datasources/grants_gov                                                                                           |          2 |        422 |        150 |        113 |        685 |
| scripts/datasources/gsa                                                                                                  |          2 |        303 |         31 |         73 |        407 |
| scripts/datasources/hifld                                                                                                |          2 |        351 |         92 |         89 |        532 |
| scripts/datasources/hud                                                                                                  |          1 |        151 |         22 |         40 |        213 |
| scripts/datasources/irs                                                                                                  |          4 |      1,037 |        378 |        304 |      1,719 |
| scripts/datasources/jurisdictions                                                                                        |          3 |        435 |         73 |         88 |        596 |
| scripts/datasources/localview                                                                                            |          7 |      1,677 |        526 |        400 |      2,603 |
| scripts/datasources/localview (Files)                                                                                    |          4 |        942 |        222 |        208 |      1,372 |
| scripts/datasources/localview/archive                                                                                    |          3 |        735 |        304 |        192 |      1,231 |
| scripts/datasources/master_data                                                                                          |          1 |      1,005 |        182 |        144 |      1,331 |
| scripts/datasources/meetingbank                                                                                          |          1 |        256 |        128 |         81 |        465 |
| scripts/datasources/naco                                                                                                 |          2 |        869 |        141 |        144 |      1,154 |
| scripts/datasources/nccs                                                                                                 |          2 |        660 |         75 |        119 |        854 |
| scripts/datasources/nces                                                                                                 |          6 |      1,339 |        525 |        171 |      2,035 |
| scripts/datasources/ntee                                                                                                 |          2 |        183 |         59 |         58 |        300 |
| scripts/datasources/openstates                                                                                           |         12 |      2,442 |      1,103 |        615 |      4,160 |
| scripts/datasources/osf                                                                                                  |          3 |        592 |         93 |        158 |        843 |
| scripts/datasources/social_media                                                                                         |          1 |        238 |        137 |         59 |        434 |
| scripts/datasources/uscm                                                                                                 |          6 |        737 |        138 |        123 |        998 |
| scripts/datasources/voter_data                                                                                           |          1 |        169 |        143 |         50 |        362 |
| scripts/datasources/wikidata                                                                                             |         13 |      5,450 |      2,418 |        603 |      8,471 |
| scripts/datasources/youtube                                                                                              |          7 |      2,770 |        948 |        534 |      4,252 |
| scripts/dbt                                                                                                              |          3 |        523 |         45 |         75 |        643 |
| scripts/deployment                                                                                                       |          8 |      1,747 |        584 |        392 |      2,723 |
| scripts/deployment/neon                                                                                                  |          8 |      1,747 |        584 |        392 |      2,723 |
| scripts/development                                                                                                      |          2 |        147 |         30 |         46 |        223 |
