Date : 2026-05-14 20:08:39
Directory : /home/developer/projects/open-navigator
Total : 111 files,  8890 codes, 1523 comments, 979 blanks, all 11392 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Python         |         21 |      4,882 |      1,213 |        527 |      6,622 |
| MS SQL         |         26 |      1,576 |        190 |        145 |      1,911 |
| TypeScript JSX |         17 |      1,477 |        -23 |         87 |      1,541 |
| Markdown       |          9 |        359 |          0 |        114 |        473 |
| Shell Script   |         15 |        240 |         99 |         60 |        399 |
| YAML           |          7 |        221 |         11 |         25 |        257 |
| TypeScript     |          9 |        109 |         35 |         21 |        165 |
| JavaScript     |          3 |         16 |          0 |          0 |         16 |
| HTML           |          2 |         10 |         -2 |          0 |          8 |
| PostCSS        |          2 |          0 |          0 |          0 |          0 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        111 |      8,890 |      1,523 |        979 |     11,392 |
| . (Files)                                                                                                                                       |          4 |         71 |          9 |         20 |        100 |
| api                                                                                                                                             |          6 |        -43 |        127 |        -12 |         72 |
| api/routes                                                                                                                                      |          1 |        -49 |        128 |        -12 |         67 |
| api/static                                                                                                                                      |          5 |          6 |         -1 |          0 |          5 |
| api/static (Files)                                                                                                                              |          1 |          5 |         -1 |          0 |          4 |
| api/static/assets                                                                                                                               |          4 |          1 |          0 |          0 |          1 |
| dbt_project                                                                                                                                     |         14 |        640 |         67 |         35 |        742 |
| dbt_project (Files)                                                                                                                             |          1 |          0 |          2 |          1 |          3 |
| dbt_project/macros                                                                                                                              |          1 |          9 |          0 |          1 |         10 |
| dbt_project/models                                                                                                                              |         12 |        631 |         65 |         33 |        729 |
| dbt_project/models/intermediate                                                                                                                 |          3 |         77 |         14 |          3 |         94 |
| dbt_project/models/marts                                                                                                                        |          8 |        516 |         51 |         29 |        596 |
| dbt_project/models/staging                                                                                                                      |          1 |         38 |          0 |          1 |         39 |
| docs                                                                                                                                            |          2 |         75 |          0 |         19 |         94 |
| frontend                                                                                                                                        |         25 |      1,579 |          5 |        103 |      1,687 |
| frontend (Files)                                                                                                                                |          2 |         20 |         -1 |          0 |         19 |
| frontend/src                                                                                                                                    |         23 |      1,559 |          6 |        103 |      1,668 |
| frontend/src (Files)                                                                                                                            |          1 |          6 |          0 |          0 |          6 |
| frontend/src/components                                                                                                                         |          8 |        655 |         12 |         50 |        717 |
| frontend/src/contexts                                                                                                                           |          1 |         -1 |          1 |          0 |          0 |
| frontend/src/pages                                                                                                                              |          7 |        817 |        -36 |         37 |        818 |
| frontend/src/utils                                                                                                                              |          6 |         82 |         29 |         16 |        127 |
| scripts                                                                                                                                         |         53 |      6,367 |      1,309 |        750 |      8,426 |
| scripts (Files)                                                                                                                                 |          2 |          6 |         10 |          1 |         17 |
| scripts/datasources                                                                                                                             |         37 |      6,030 |      1,214 |        681 |      7,925 |
| scripts/datasources/census                                                                                                                      |          3 |        430 |         95 |         50 |        575 |
| scripts/datasources/dot                                                                                                                         |          4 |        839 |         87 |        119 |      1,045 |
| scripts/datasources/jurisdictions                                                                                                               |          1 |        125 |        193 |         27 |        345 |
| scripts/datasources/leagueofcities                                                                                                              |          2 |      1,406 |         80 |        127 |      1,613 |
| scripts/datasources/vendorsearch                                                                                                                |          2 |        308 |         25 |         71 |        404 |
| scripts/datasources/youtube                                                                                                                     |         25 |      2,922 |        734 |        287 |      3,943 |
| scripts/datasources/youtube (Files)                                                                                                             |         24 |      2,898 |        728 |        282 |      3,908 |
| scripts/datasources/youtube/sql                                                                                                                 |          1 |         24 |          6 |          5 |         35 |
| scripts/deployment                                                                                                                              |          8 |        100 |         26 |         39 |        165 |
| scripts/deployment/neon                                                                                                                         |          8 |        100 |         26 |         39 |        165 |
| scripts/deployment/neon/migrations                                                                                                              |          8 |        100 |         26 |         39 |        165 |
| scripts/development                                                                                                                             |          1 |        145 |         36 |         22 |        203 |
| scripts/discovery                                                                                                                               |          2 |         26 |         12 |          3 |         41 |
| scripts/frontend                                                                                                                                |          2 |         55 |          7 |          4 |         66 |
| scripts/localview                                                                                                                               |          1 |          5 |          4 |          0 |          9 |
| website                                                                                                                                         |          7 |        201 |          6 |         64 |        271 |
| website (Files)                                                                                                                                 |          2 |         14 |          2 |          3 |         19 |
| website/docs                                                                                                                                    |          4 |        174 |          0 |         59 |        233 |
| website/docs (Files)                                                                                                                            |          1 |          3 |          0 |          6 |          9 |
| website/docs/data-sources                                                                                                                       |          1 |        103 |          0 |         34 |        137 |
| website/docs/guides                                                                                                                             |          1 |          6 |          0 |          6 |         12 |
| website/docs/integrations                                                                                                                       |          1 |         62 |          0 |         13 |         75 |
| website/src                                                                                                                                     |          1 |         13 |          4 |          2 |         19 |
| website/src/clientModules                                                                                                                       |          1 |         13 |          4 |          2 |         19 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                        | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/developer/projects/open-navigator/CITATIONS.md                                                                                            | Markdown       |          9 |          0 |          3 |         12 |
| /home/developer/projects/open-navigator/api/routes/stats_neon.py                                                                                | Python         |        -49 |        128 |        -12 |         67 |
| /home/developer/projects/open-navigator/api/static/assets/index-C3eFljBF.css                                                                    | PostCSS        |         -1 |          0 |         -1 |         -2 |
| /home/developer/projects/open-navigator/api/static/assets/index-D6f4KWLi.css                                                                    | PostCSS        |          1 |          0 |          1 |          2 |
| /home/developer/projects/open-navigator/api/static/assets/index-D7B1TH1H.js                                                                     | JavaScript     |        223 |          0 |         21 |        244 |
| /home/developer/projects/open-navigator/api/static/assets/index-ih9K7org.js                                                                     | JavaScript     |       -222 |          0 |        -21 |       -243 |
| /home/developer/projects/open-navigator/api/static/index.html                                                                                   | HTML           |          5 |         -1 |          0 |          4 |
| /home/developer/projects/open-navigator/dbt_project.yml                                                                                         | YAML           |         46 |          9 |         15 |         70 |
| /home/developer/projects/open-navigator/dbt_project/dbt_project.yml                                                                             | YAML           |          0 |          2 |          1 |          3 |
| /home/developer/projects/open-navigator/dbt_project/macros/jurisdiction_acs_exists.sql                                                          | MS SQL         |          9 |          0 |          1 |         10 |
| /home/developer/projects/open-navigator/dbt_project/models/intermediate/_intermediate.yml                                                       | YAML           |         22 |          0 |          0 |         22 |
| /home/developer/projects/open-navigator/dbt_project/models/intermediate/int_events_channels.sql                                                 | MS SQL         |         22 |         11 |          2 |         35 |
| /home/developer/projects/open-navigator/dbt_project/models/intermediate/int_jurisdiction_websites.sql                                           | MS SQL         |         33 |          3 |          1 |         37 |
| /home/developer/projects/open-navigator/dbt_project/models/marts/_marts.yml                                                                     | YAML           |         99 |          0 |          6 |        105 |
| /home/developer/projects/open-navigator/dbt_project/models/marts/events_channels_search.sql                                                     | MS SQL         |          4 |          0 |          0 |          4 |
| /home/developer/projects/open-navigator/dbt_project/models/marts/jurisdiction_mapping_analysis.sql                                              | MS SQL         |        195 |         17 |          8 |        220 |
| /home/developer/projects/open-navigator/dbt_project/models/marts/jurisdiction_mapping_analysis_sources.sql                                      | MS SQL         |         20 |          4 |          3 |         27 |
