Date : 2026-05-15 09:43:58
Directory : /home/developer/projects/open-navigator
Total : 969 files,  248435 codes, 32890 comments, 43506 blanks, all 324831 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |        307 |     77,769 |          2 |     24,324 |    102,095 |
| Python             |        314 |     74,322 |     28,628 |     14,340 |    117,290 |
| JSON               |         14 |     46,969 |          0 |         10 |     46,979 |
| TypeScript JSX     |         57 |     23,486 |        901 |      1,561 |     25,948 |
| MS SQL             |         98 |      8,879 |      1,690 |      1,212 |     11,781 |
| Shell Script       |         83 |      4,499 |        895 |        997 |      6,391 |
| JavaScript JSX     |         18 |      4,378 |        186 |        205 |      4,769 |
| TypeScript         |         19 |      2,803 |        353 |        262 |      3,418 |
| YAML               |         17 |      1,880 |         49 |        181 |      2,110 |
| PostCSS            |          7 |      1,098 |         40 |        107 |      1,245 |
| HTML               |          9 |        843 |         18 |         98 |        959 |
| XML                |         12 |        634 |         34 |         69 |        737 |
| JavaScript         |          5 |        308 |          1 |         26 |        335 |
| Makefile           |          1 |        145 |          0 |         25 |        170 |
| Properties         |          2 |        129 |         18 |         25 |        172 |
| R                  |          1 |        126 |         24 |         22 |        172 |
| pip requirements   |          1 |         76 |         25 |         16 |        117 |
| Docker             |          1 |         49 |         21 |         21 |         91 |
| JSON with Comments |          3 |         42 |          5 |          5 |         52 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        969 |    248,435 |     32,890 |     43,506 |    324,831 |
| . (Files)                                                                                                                                |         22 |      3,610 |        144 |        869 |      4,623 |
| .claude                                                                                                                                  |          1 |         12 |          0 |          1 |         13 |
| .github                                                                                                                                  |          3 |        769 |          8 |        195 |        972 |
| .github (Files)                                                                                                                          |          1 |        599 |          0 |        159 |        758 |
| .github/workflows                                                                                                                        |          2 |        170 |          8 |         36 |        214 |
| .huggingface                                                                                                                             |          4 |        247 |         26 |         63 |        336 |
| agents                                                                                                                                   |         13 |      2,348 |        844 |        474 |      3,666 |
| alerts                                                                                                                                   |          1 |        344 |        146 |         78 |        568 |
| api                                                                                                                                      |         30 |      5,960 |      4,270 |      1,087 |     11,317 |
| api (Files)                                                                                                                              |          7 |      1,723 |        752 |        304 |      2,779 |
| api/routes                                                                                                                               |         13 |      3,502 |      3,459 |        671 |      7,632 |
| api/static                                                                                                                               |          8 |        710 |         21 |         92 |        823 |
| api/static (Files)                                                                                                                       |          6 |        486 |         21 |         70 |        577 |
| api/static/assets                                                                                                                        |          2 |        224 |          0 |         22 |        246 |
| api/utils                                                                                                                                |          2 |         25 |         38 |         20 |         83 |
| config                                                                                                                                   |          2 |         82 |         25 |         25 |        132 |
| databricks                                                                                                                               |          5 |      1,187 |        604 |        220 |      2,011 |
| databricks (Files)                                                                                                                       |          4 |      1,135 |        342 |        204 |      1,681 |
| databricks/notebooks                                                                                                                     |          1 |         52 |        262 |         16 |        330 |
| dbt_project                                                                                                                              |         67 |      7,265 |        907 |        937 |      9,109 |
| dbt_project (Files)                                                                                                                      |         10 |      1,059 |         36 |        328 |      1,423 |
| dbt_project/analyses                                                                                                                     |          4 |         78 |         10 |          8 |         96 |
| dbt_project/macros                                                                                                                       |          7 |        101 |         30 |         10 |        141 |
| dbt_project/models                                                                                                                       |         41 |      5,921 |        807 |        571 |      7,299 |
| dbt_project/models/bronze                                                                                                                |          8 |        611 |        131 |         78 |        820 |
| dbt_project/models/intermediate                                                                                                          |         16 |      2,927 |        364 |        257 |      3,548 |
| dbt_project/models/marts                                                                                                                 |         13 |      1,308 |        255 |        135 |      1,698 |
| dbt_project/models/staging                                                                                                               |          4 |      1,075 |         57 |        101 |      1,233 |
| dbt_project/scripts                                                                                                                      |          3 |         50 |         14 |         12 |         76 |
| dbt_project/scripts (Files)                                                                                                              |          2 |         30 |         12 |          9 |         51 |
| dbt_project/scripts/discovery                                                                                                            |          1 |         20 |          2 |          3 |         25 |
| dbt_project/seeds                                                                                                                        |          1 |         20 |          0 |          3 |         23 |
| dbt_project/tests                                                                                                                        |          1 |         36 |         10 |          5 |         51 |
| docs                                                                                                                                     |         56 |     14,473 |          0 |      4,815 |     19,288 |
| examples                                                                                                                                 |          1 |        365 |          0 |        114 |        479 |
| extraction                                                                                                                               |          6 |      1,615 |        795 |        330 |      2,740 |
| frontend                                                                                                                                 |        107 |     53,742 |      1,316 |      2,195 |     57,253 |
| frontend (Files)                                                                                                                         |         10 |      5,777 |         14 |         61 |      5,852 |
| frontend/policy-dashboards                                                                                                               |         25 |     22,111 |        191 |        299 |     22,601 |
| frontend/policy-dashboards (Files)                                                                                                       |          3 |     17,667 |          0 |         80 |     17,747 |
| frontend/policy-dashboards/public                                                                                                        |          2 |         30 |          5 |          6 |         41 |
| frontend/policy-dashboards/src                                                                                                           |         20 |      4,414 |        186 |        213 |      4,813 |
| frontend/policy-dashboards/src (Files)                                                                                                   |          3 |      1,313 |         30 |         57 |      1,400 |
| frontend/policy-dashboards/src/components                                                                                                |         17 |      3,101 |        156 |        156 |      3,413 |
| frontend/policy-dashboards/src/components (Files)                                                                                        |         10 |      2,353 |        112 |        112 |      2,577 |
| frontend/policy-dashboards/src/components/shared                                                                                         |          7 |        748 |         44 |         44 |        836 |
| frontend/public                                                                                                                          |          5 |        358 |         12 |         61 |        431 |
| frontend/src                                                                                                                             |         67 |     25,496 |      1,099 |      1,774 |     28,369 |
